query,event
Where is the Mathematics Olympiad being held?,Mathematics Olympiad
What time is the Robotics Showcase on 11 March 2024?,Robotics Showcase
Where is the Robotics Showcase on 11 March 2024?,Robotics Showcase
Can I share the details of the Robotics Showcase on 11 March 2024 with my colleagues?,Robotics Showcase
How do I send out invites for the Data Science Conference on 18 December 2024 at 10:10 PM in Auditorium Hall A?,Data Science Conference
What is my RSVP status for the Data Science Conference on 18 December 2024 at 10:10 PM in Auditorium Hall A?,Data Science Conference
Can I set a reminder for the Data Science Conference on 18 December 2024 at 10:10 PM in Auditorium Hall A?,Data Science Conference
Is there anything else happening at 7:25 PM on 09 May 2024?,Artificial Intelligence Summit
Can you send out invites for the Artificial Intelligence Summit on 09 May 2024 at 7:25 PM?,Artificial Intelligence Summit
What should I do with the info about the Artificial Intelligence Summit on 09 May 2024 at 7:25 PM?,Artificial Intelligence Summit
"10 November 2025, 2:30 PM Mathematics Olympiad, Main Hall, Building C",Mathematics Olympiad
"Invite for Mathematics Olympiad on 10 November 2025, 2:30 PM at Main Hall, Building C",Mathematics Olympiad
"Where is the Mathematics Olympiad on 10 November 2025, 2:30 PM?",Mathematics Olympiad
Is there anything else happening at 11:27 PM on 22 July 2025?,Tech Symposium
"Set a reminder for the Tech Symposium on 22 July 2025, 11:27 PM.",Tech Symposium
Can I change the time of the Tech Symposium to 10:00 PM on 22 July 2025?,Tech Symposium
What time is the Robotics Showcase on October 30th?,Robotics Showcase
Is there a conflict with my other plans on October 30th at 1:12 AM?,Robotics Showcase
Can I change the date or time of the Robotics Showcase?,Robotics Showcase
What is the date and time of the annual science fair?,Annual Science Fair
Where is the annual science fair being held?,Annual Science Fair
Can I modify the date and time of the annual science fair?,Annual Science Fair
"What time is the Data Science Conference on January 12th, 2025?",Data Science Conference
"Is there a conflict with my other appointments on January 12th, 2025 at 2:23 AM?",Data Science Conference
"Can you remind me to attend the Data Science Conference on January 12th, 2025 at 2:23 AM?",Data Science Conference
What time is the Cultural Fest on 24 November 2025?,Cultural Fest
Where is the Cultural Fest being held on 24 November 2025?,Cultural Fest
Can you send me an email reminder for the Cultural Fest on 24 November 2025 at 2:31 PM?,Cultural Fest
"23 November 2025, 6:59 AM - Artificial Intelligence Summit - Innovation Hub",Artificial Intelligence Summit
What is the time of the Artificial Intelligence Summit on 23 November 2025?,Artificial Intelligence Summit
Where is the Artificial Intelligence Summit being held on 23 November 2025?,Artificial Intelligence Summit
How do I move the Artificial Intelligence Summit to a different date?,Artificial Intelligence Summit
Is there a conflict with my meeting at 9:00 AM on 28 January 2025?,Artificial Intelligence Summit
Can I send out invites for the Artificial Intelligence Summit?,Artificial Intelligence Summit
What time is the Tech Symposium on 23 February 2025?,Tech Symposium
Is the Tech Symposium happening at the Innovation Hub?,Tech Symposium
Can I set a reminder for the Tech Symposium on 23 February 2025?,Tech Symposium
"21 June 2025, 4:06 PM, Physics Lab - Guest Lecture on AI",Guest Lecture on AI
"Send out invites for the Guest Lecture on AI on 21 June 2025, 4:06 PM at Physics Lab",Guest Lecture on AI
"What's the schedule for the Guest Lecture on AI on 21 June 2025, 4:06 PM at Physics Lab?",Guest Lecture on AI
What is the time of the Cultural Fest on 30 November 2024?,Cultural Fest
Where is the Cultural Fest being held on 30 November 2024?,Cultural Fest
Can you remind me about the Cultural Fest on 30 November 2024?,Cultural Fest
"22 August 2024, 3:31 PM, University Seminar Hall - Cultural Fest",Cultural Fest
What time is the Cultural Fest on August 22nd?,Cultural Fest
Where is the Cultural Fest being held?,Cultural Fest
How do I move the Guest Lecture on AI to a different date?,Guest Lecture on AI
Can you remind me of the Guest Lecture on AI at 4:07 AM on 09 November 2025?,Guest Lecture on AI
What is the RSVP status for the Guest Lecture on AI?,Guest Lecture on AI
"02 June 2025, 1:50 PM Tech Symposium at Innovation Hub - Invite",Tech Symposium
"02 June 2025, 1:50 PM Tech Symposium at Innovation Hub - Conflict",Tech Symposium
"02 June 2025, 1:50 PM Tech Symposium at Innovation Hub - Modify",Tech Symposium
"22 January 2025, 2:52 PM - Cultural Fest - Innovation Hub",Cultural Fest
Is there a recurring event for Cultural Fest?,Cultural Fest
"Are there any scheduling conflicts on 22 January 2025, 2:52 PM?",Cultural Fest
Is there anything else happening on 18 June 2025 at 1:51 AM?,Entrepreneurship Workshop
Can you send me an email invite to the Entrepreneurship Workshop on 18 June 2025 at 1:51 AM?,Entrepreneurship Workshop
Can you find out where the Entrepreneurship Workshop is taking place on 18 June 2025 at 1:51 AM?,Entrepreneurship Workshop
What time is the Cybersecurity Awareness Seminar on October 3rd?,Cybersecurity Awareness Seminar
Is the Cybersecurity Awareness Seminar happening again?,Cybersecurity Awareness Seminar
Can I share the details of the Cybersecurity Awareness Seminar with my colleagues?,Cybersecurity Awareness Seminar
"07 September 2025, 1:16 PM, Physics Lab",Guest Lecture on AI
What time is the Guest Lecture on AI?,Guest Lecture on AI
Where is the Guest Lecture on AI?,Guest Lecture on AI
What is the date and time of the Robotics Showcase?,Robotics Showcase
Is the Robotics Showcase at Auditorium Hall A?,Robotics Showcase
What is the RSVP status for the Robotics Showcase?,Robotics Showcase
What time is the Cybersecurity Awareness Seminar on 02 December 2024?,Cybersecurity Awareness Seminar
Can I schedule a reminder for the Cybersecurity Awareness Seminar on 02 December 2024 at 5:04 AM?,Cybersecurity Awareness Seminar
How do I invite people to the Cybersecurity Awareness Seminar on 02 December 2024 at Auditorium Hall A?,Cybersecurity Awareness Seminar
What time is the Artificial Intelligence Summit on September 16th?,Artificial Intelligence Summit
Can you remind me about the Artificial Intelligence Summit on September 16th?,Artificial Intelligence Summit
Set a reminder for the Artificial Intelligence Summit on September 16th at 8:28 AM.,Artificial Intelligence Summit
How often does the Mathematics Olympiad happen?,Mathematics Olympiad
Is there a conflict with my other event on 31 May 2024 at 4:06 AM?,Mathematics Olympiad
Can I change the venue of the Mathematics Olympiad to a different location?,Mathematics Olympiad
"15 December 2024, 12:44 PM Mathematics Olympiad at University Seminar Hall",Mathematics Olympiad
What is the date and time of the Mathematics Olympiad?,Mathematics Olympiad
Where is the Mathematics Olympiad being held?,Mathematics Olympiad
"24 April 2025, 7:08 PM, Innovation Hub, Guest Lecture on AI",Guest Lecture on AI
"How do I check if there are any conflicts with my Guest Lecture on AI on 24 April 2025, 7:08 PM at Innovation Hub?",Guest Lecture on AI
"Can I move my Guest Lecture on AI from 24 April 2025, 7:08 PM at Innovation Hub to a different date and time?",Guest Lecture on AI
What time is the Cultural Fest on 27 February 2024?,Cultural Fest
Is the Cultural Fest happening at the Sports Complex on 27 February 2024?,Cultural Fest
What should I do if I can't attend the Cultural Fest on 27 February 2024?,Cultural Fest
"Is there a conflict with my meeting scheduled for 12 September 2025, 1:16 AM?",Tech Symposium
"Can I set a reminder for the Tech Symposium on 12 September 2025, 1:16 AM?",Tech Symposium
How do I manage recurring events like the Tech Symposium?,Tech Symposium
What time is the Artificial Intelligence Summit on 05 May 2024?,Artificial Intelligence Summit
Can I set a reminder for the Artificial Intelligence Summit on 05 May 2024 at 10:58 AM?,Artificial Intelligence Summit
How do I invite people to the Artificial Intelligence Summit on 05 May 2024 at the Sports Complex?,Artificial Intelligence Summit
What time is the Robotics Showcase on 07 June 2025?,Robotics Showcase
Is the Robotics Showcase on 07 June 2025 at the University Seminar Hall?,Robotics Showcase
Can I RSVP to the Robotics Showcase on 07 June 2025?,Robotics Showcase
What is the date and time of the Data Science Conference?,Data Science Conference
Where is the Data Science Conference being held?,Data Science Conference
Is the Data Science Conference still happening?,Data Science Conference
"14 July 2024, 2:18 PM Mathematics Olympiad Auditorium Hall A",Mathematics Olympiad
What is the date and time of the Mathematics Olympiad?,Mathematics Olympiad
Where is the Mathematics Olympiad being held?,Mathematics Olympiad
"08 January 2024, 5:27 AM - Robotics Showcase - Physics Lab",Robotics Showcase
"Invite for Robotics Showcase on 08 January 2024, 5:27 AM at Physics Lab",Robotics Showcase
"Can I move the Robotics Showcase from 08 January 2024, 5:27 AM to a different time?",Robotics Showcase
What time is the Mathematics Olympiad on 11 May 2025?,Mathematics Olympiad
Can I set a reminder for the Mathematics Olympiad on 11 May 2025 at 2:29 PM?,Mathematics Olympiad
How do I invite people to the Mathematics Olympiad on 11 May 2025 at 2:29 PM in the Cafeteria Meeting Room?,Mathematics Olympiad
"19 July 2025, 11:55 AM Tech Symposium Main Hall, Building C",Tech Symposium
"Tech Symposium 19 July 2025, 11:55 AM Main Hall, Building C",Tech Symposium
"Send reminder for Tech Symposium on 19 July 2025, 11:55 AM in Main Hall, Building C",Tech Symposium
"How do I invite people to the Guest Lecture on AI on 08 April 2025, 8:26 PM at the Sports Complex?",Guest Lecture on AI
"Can you remind me to move the Guest Lecture on AI from 08 April 2025, 8:26 PM to a later date?",Guest Lecture on AI
"How do I cancel the Guest Lecture on AI on 08 April 2025, 8:26 PM at the Sports Complex?",Guest Lecture on AI
What time is the Cultural Fest on January 21st?,Cultural Fest
Is the Cultural Fest happening in GD Room?,Cultural Fest
Can I change my RSVP for the Cultural Fest?,Cultural Fest
How do I move the Cybersecurity Awareness Seminar to a different date?,Cybersecurity Awareness Seminar
Can I set a reminder for the Cybersecurity Awareness Seminar?,Cybersecurity Awareness Seminar
What is the RSVP status for the Cybersecurity Awareness Seminar?,Cybersecurity Awareness Seminar
What time is the Entrepreneurship Workshop on 09 November 2024?,Entrepreneurship Workshop
Is there a scheduling conflict with the Entrepreneurship Workshop on 09 November 2024?,Entrepreneurship Workshop
What is my RSVP status for the Entrepreneurship Workshop on 09 November 2024?,Entrepreneurship Workshop
"02 February 2025, 4:24 PM, Entrepreneurship Workshop, Physics Lab, send invites",Entrepreneurship Workshop
"02 February 2025, 4:24 PM, Entrepreneurship Workshop, Physics Lab, follow-up",Entrepreneurship Workshop
"02 February 2025, 4:24 PM, Entrepreneurship Workshop, Physics Lab, recurring event",Entrepreneurship Workshop
"26 February 2025, 11:41 PM, Main Hall, Building C - Guest Lecture on AI - RSVP status",Guest Lecture on AI
"26 February 2025, 11:41 PM, Main Hall, Building C - Guest Lecture on AI - Scheduling reminder",Guest Lecture on AI
"26 February 2025, 11:41 PM, Main Hall, Building C - Guest Lecture on AI - Follow-up reminder",Guest Lecture on AI
How often does the science fair happen?,Annual Science Fair
Can I move the science fair to a different time?,Annual Science Fair
Can I set a reminder for the science fair?,Annual Science Fair
Can I change the time of the Cultural Fest on 14 May 2024?,Cultural Fest
Can you send me an email about the Cultural Fest on 14 May 2024?,Cultural Fest
Can I move the Cultural Fest on 14 May 2024 to a different venue?,Cultural Fest
Is there a Robotics Showcase on 02 January 2025 at 2:15 PM in Cafeteria Meeting Room?,Robotics Showcase
Can you remind me about the Robotics Showcase on 02 January 2025 at 2:15 PM in Cafeteria Meeting Room?,Robotics Showcase
What is the Robotics Showcase on 02 January 2025 at 2:15 PM in Cafeteria Meeting Room about?,Robotics Showcase
What time is the Robotics Showcase on 16 June 2025?,Robotics Showcase
Where is the Robotics Showcase being held on 16 June 2025?,Robotics Showcase
Is there a conflict with my schedule on 16 June 2025 at 8:41 PM?,Robotics Showcase
"14 May 2025, 9:15 PM, GD Room, First Year Block - Mathematics Olympiad",Mathematics Olympiad
What's the date and time of the Mathematics Olympiad?,Mathematics Olympiad
Where is the Mathematics Olympiad being held?,Mathematics Olympiad
Can I see the schedule for the Cybersecurity Awareness Seminar on 20 April 2025?,Cybersecurity Awareness Seminar
Is there a conflict with the Cybersecurity Awareness Seminar on 20 April 2025?,Cybersecurity Awareness Seminar
Can I send out invites for the Cybersecurity Awareness Seminar on 20 April 2025?,Cybersecurity Awareness Seminar
What time is the Mathematics Olympiad on 27 February 2025?,Mathematics Olympiad
Where is the Mathematics Olympiad being held on 27 February 2025?,Mathematics Olympiad
Can I set a reminder for the Mathematics Olympiad on 27 February 2025?,Mathematics Olympiad
How do I move the science fair to a different date?,Annual Science Fair
What time is the science fair?,Annual Science Fair
Can I RSVP to the science fair?,Annual Science Fair
What time is the Data Science Conference on July 10th?,Data Science Conference
Where is the Data Science Conference being held?,Data Science Conference
Is the Data Science Conference happening again?,Data Science Conference
What time is the Annual Science Fair on October 27th?,Annual Science Fair
Where is the Annual Science Fair being held?,Annual Science Fair
Is there a conflict with any other events on October 27th at 3:41 AM?,Annual Science Fair
What time is the Entrepreneurship Workshop on October 5th?,Entrepreneurship Workshop
Where is the Entrepreneurship Workshop being held?,Entrepreneurship Workshop
Can you remind me about the Entrepreneurship Workshop on October 5th?,Entrepreneurship Workshop
How do I move the Data Science Conference to a different date?,Data Science Conference
Can I send out invites for the Data Science Conference?,Data Science Conference
Is there a scheduling conflict with the Data Science Conference?,Data Science Conference
How often does the Tech Symposium happen?,Tech Symposium
Is there a conflict with my other plans on 18 January 2024 at 11:34 PM?,Tech Symposium
Can you send out invitations for the Tech Symposium on 18 January 2024 at 11:34 PM in Cafeteria Meeting Room?,Tech Symposium
"18 April 2025, 3:35 PM Mathematics Olympiad at Cafeteria Meeting Room - RSVP status",Mathematics Olympiad
"18 April 2025, 3:35 PM Mathematics Olympiad at Cafeteria Meeting Room - Follow-up and reminder",Mathematics Olympiad
"18 April 2025, 3:35 PM Mathematics Olympiad at Cafeteria Meeting Room - Check for scheduling conflict",Mathematics Olympiad
What is the date of the annual science fair?,Annual Science Fair
What time is the annual science fair?,Annual Science Fair
Where is the annual science fair held?,Annual Science Fair
"01 March 2025, 9:16 AM, Library Conference Room - Guest Lecture on AI",Guest Lecture on AI
What's the time of the Guest Lecture on AI?,Guest Lecture on AI
Where is the Guest Lecture on AI taking place?,Guest Lecture on AI
"29 July 2025, 5:58 PM Entrepreneurship Workshop - RSVP status",Entrepreneurship Workshop
"29 July 2025, 5:58 PM Entrepreneurship Workshop - Modify venue",Entrepreneurship Workshop
"29 July 2025, 5:58 PM Entrepreneurship Workshop - Send invites",Entrepreneurship Workshop
"21 May 2024, 11:20 PM, GD Room, First Year Block - Send out invites",Entrepreneurship Workshop
"21 May 2024, 11:20 PM, GD Room, First Year Block - Follow-up reminder",Entrepreneurship Workshop
"21 May 2024, 11:20 PM, GD Room, First Year Block - Modify event time",Entrepreneurship Workshop
"11 December 2025, 1:40 PM, Entrepreneurship Workshop, Library Conference Room, send invites",Entrepreneurship Workshop
"11 December 2025, 1:40 PM, Entrepreneurship Workshop, Library Conference Room, modify time",Entrepreneurship Workshop
"11 December 2025, 1:40 PM, Entrepreneurship Workshop, Library Conference Room, follow-up reminder",Entrepreneurship Workshop
How often is the Mathematics Olympiad held?,Mathematics Olympiad
Can you remind me when the Mathematics Olympiad is happening?,Mathematics Olympiad
Where is the Mathematics Olympiad being held?,Mathematics Olympiad
How often is the Mathematics Olympiad held?,Mathematics Olympiad
Is there a conflict with my English class on 25 November 2024 at 10:29 AM?,Mathematics Olympiad
Can you remind me to bring my calculator to the Mathematics Olympiad on 25 November 2024 at 10:29 AM?,Mathematics Olympiad
How often is the Mathematics Olympiad held?,Mathematics Olympiad
"What time is the Mathematics Olympiad on March 1st, 2025?",Mathematics Olympiad
"Is there a conflict with any other events in the Main Hall, Building C on March 1st, 2025 at 6:59 AM?",Mathematics Olympiad
How many days until the Cultural Fest?,Cultural Fest
What time is the Cultural Fest on July 5th?,Cultural Fest
Where is the Cultural Fest being held?,Cultural Fest
"22 October 2024, 10:11 PM, Main Hall, Building C - RSVP status",Artificial Intelligence Summit
"22 October 2024, 10:11 PM, Main Hall, Building C - Invite",Artificial Intelligence Summit
"22 October 2024, 10:11 PM, Main Hall, Building C - Modify",Artificial Intelligence Summit
12/2/2024 1:36 PM Robotics Showcase Innovation Hub,Robotics Showcase
Send out invites for Robotics Showcase on 12/2/2024 1:36 PM at Innovation Hub,Robotics Showcase
Remind me about Robotics Showcase on 12/2/2024 1:36 PM at Innovation Hub,Robotics Showcase
How do I move the Data Science Conference to a different date?,Data Science Conference
Can I send out invites for the Data Science Conference?,Data Science Conference
How do I cancel the Data Science Conference?,Data Science Conference
What is the date of the Data Science Conference?,Data Science Conference
Where is the Data Science Conference being held?,Data Science Conference
What time is the Data Science Conference starting?,Data Science Conference
"24 August 2024, 2:03 AM, Innovation Hub, Artificial Intelligence Summit",Artificial Intelligence Summit
What time is the Artificial Intelligence Summit on 24 August 2024?,Artificial Intelligence Summit
Where is the Artificial Intelligence Summit being held on 24 August 2024?,Artificial Intelligence Summit
"02 June 2025, 4:21 AM - Robotics Showcase - Library Conference Room - RSVP status",Robotics Showcase
"02 June 2025, 4:21 AM - Robotics Showcase - Library Conference Room - Check scheduling conflict",Robotics Showcase
"02 June 2025, 4:21 AM - Robotics Showcase - Library Conference Room - Follow-up reminder",Robotics Showcase
What is the date and time of the Data Science Conference?,Data Science Conference
Where is the Data Science Conference being held?,Data Science Conference
Can I get a reminder for the Data Science Conference?,Data Science Conference
"19 August 2025, 4:29 AM - Entrepreneurship Workshop - Physics Lab",Entrepreneurship Workshop
"Set a reminder for 19 August 2025, 4:29 AM - Entrepreneurship Workshop - Physics Lab",Entrepreneurship Workshop
What time is the Entrepreneurship Workshop on 19 August 2025? - Physics Lab,Entrepreneurship Workshop
"Is there anything else happening on September 7th, 2024 at 12:05 AM?",Tech Symposium
"Can you remind me about the Tech Symposium on September 7th, 2024 at 12:05 AM?",Tech Symposium
"Can you send out invitations for the Tech Symposium on September 7th, 2024 at 12:05 AM?",Tech Symposium
Is there anything else happening at 7:48 PM on 20 March 2024?,Entrepreneurship Workshop
Can you remind me about the Entrepreneurship Workshop on 20 March 2024 at 7:48 PM?,Entrepreneurship Workshop
Can you send me more information about the Entrepreneurship Workshop on 20 March 2024 at 7:48 PM?,Entrepreneurship Workshop
What time is the Cultural Fest on 21 February 2024?,Cultural Fest
Is the Cultural Fest happening on 21 February 2024?,Cultural Fest
Where is the Cultural Fest being held on 21 February 2024?,Cultural Fest
"17 May 2025, 8:13 AM, Sports Complex - Data Science Conference",Data Science Conference
"Add reminder for Data Science Conference on 17 May 2025, 8:13 AM at Sports Complex",Data Science Conference
Is there a recurring event for Data Science Conference?,Data Science Conference
"01 September 2024, 10:38 PM - Cybersecurity Awareness Seminar - Cafeteria Meeting Room",Cybersecurity Awareness Seminar
"Set a reminder for 01 September 2024, 10:38 PM - Cybersecurity Awareness Seminar - Cafeteria Meeting Room",Cybersecurity Awareness Seminar
What time is the Cybersecurity Awareness Seminar on 01 September 2024?,Cybersecurity Awareness Seminar
"19 November 2025, 12:17 PM Robotics Showcase at Innovation Hub - Send out invites",Robotics Showcase
How often does the Robotics Showcase happen at Innovation Hub?,Robotics Showcase
Can I share the details of the Robotics Showcase with my colleagues?,Robotics Showcase
What time is the Cybersecurity Awareness Seminar?,Cybersecurity Awareness Seminar
Where is the Cybersecurity Awareness Seminar being held?,Cybersecurity Awareness Seminar
Is there a dress code for the Cybersecurity Awareness Seminar?,Cybersecurity Awareness Seminar
Is there a cybersecurity awareness seminar on 25 February 2025 at 4:20 AM in Auditorium Hall A?,Cybersecurity Awareness Seminar
Can I get a reminder for the cybersecurity awareness seminar on 25 February 2025 at 4:20 AM in Auditorium Hall A?,Cybersecurity Awareness Seminar
Can I change the date and time of the cybersecurity awareness seminar on 25 February 2025 at 4:20 AM in Auditorium Hall A?,Cybersecurity Awareness Seminar
Is there a conflict with my other appointments on July 1st at 2:06 PM?,Mathematics Olympiad
What is the status of my RSVP for the Mathematics Olympiad on July 1st at 2:06 PM?,Mathematics Olympiad
Can you help me manage my recurring events for the Mathematics Olympiad?,Mathematics Olympiad
What is the date and time of the annual science fair?,Annual Science Fair
Where is the annual science fair being held?,Annual Science Fair
Is there a way to set a reminder for the annual science fair?,Annual Science Fair
Set a reminder for 4:16 AM on 26 April 2025 for the Cultural Fest at University Seminar Hall.,Cultural Fest
Send out invites for the Cultural Fest on 26 April 2025 at 4:16 AM at University Seminar Hall.,Cultural Fest
Follow up with attendees after the Cultural Fest on 26 April 2025 at 4:16 AM at University Seminar Hall.,Cultural Fest
"24 March 2025, 11:45 PM, University Seminar Hall - Artificial Intelligence Summit",Artificial Intelligence Summit
What time is the Artificial Intelligence Summit on 24 March 2025?,Artificial Intelligence Summit
Where is the Artificial Intelligence Summit being held on 24 March 2025?,Artificial Intelligence Summit
"What time is the Data Science Conference on August 6th, 2024?",Data Science Conference
"Is the Data Science Conference on August 6th, 2024 at the Cafeteria Meeting Room?",Data Science Conference
"Can I RSVP to the Data Science Conference on August 6th, 2024?",Data Science Conference
"26 October 2024, 8:39 AM, University Seminar Hall - RSVP status-related queries",Annual Science Fair
"26 October 2024, 8:39 AM, University Seminar Hall - Modifying, moving, or cancelling the event",Annual Science Fair
"26 October 2024, 8:39 AM, University Seminar Hall - Sending out invites for the event",Annual Science Fair
What is the date and time of the Data Science Conference?,Data Science Conference
Where is the Data Science Conference being held?,Data Science Conference
Can I set a reminder for the Data Science Conference?,Data Science Conference
"23 April 2025, 5:39 AM, Library Conference Room - Send invites",Cybersecurity Awareness Seminar
"23 April 2025, 5:39 AM, Library Conference Room - Follow-up",Cybersecurity Awareness Seminar
"23 April 2025, 5:39 AM, Library Conference Room - Share info",Cybersecurity Awareness Seminar
Is there anything else happening on 17 February 2024 at 11:38 AM?,Entrepreneurship Workshop
Can you send out invites for the Entrepreneurship Workshop on 17 February 2024 at 11:38 AM?,Entrepreneurship Workshop
Can you set a reminder for the Entrepreneurship Workshop on 17 February 2024 at 11:38 AM?,Entrepreneurship Workshop
What time is the Tech Symposium on 05 June 2024?,Tech Symposium
Is the Tech Symposium on 05 June 2024 at the Physics Lab?,Tech Symposium
What is the RSVP status for the Tech Symposium on 05 June 2024?,Tech Symposium
Can I schedule a reminder for the Artificial Intelligence Summit on April 6th at 2:06 AM?,Artificial Intelligence Summit
How do I send out invites for the Artificial Intelligence Summit?,Artificial Intelligence Summit
What follow-up tasks should I do after the Artificial Intelligence Summit?,Artificial Intelligence Summit
What is the date and time of the Mathematics Olympiad?,Mathematics Olympiad
Where is the Mathematics Olympiad being held?,Mathematics Olympiad
Can you check if there are any scheduling conflicts with the Mathematics Olympiad?,Mathematics Olympiad
How do I schedule a reminder for the Tech Symposium on 05 March 2024 at 2:14 PM?,Tech Symposium
"Can I move the Tech Symposium from 05 March 2024, 2:14 PM to a different time?",Tech Symposium
How do I modify the Tech Symposium to include more speakers or change the venue?,Tech Symposium
How do I move the Tech Symposium to a different date?,Tech Symposium
Can you remind me of the Tech Symposium at 7:10 PM on 09 October 2025?,Tech Symposium
How do I share the details of the Tech Symposium with my colleagues?,Tech Symposium
"15 May 2025, 6:15 AM, Innovation Hub - Workshop",Entrepreneurship Workshop
Is there a recurring event for Entrepreneurship Workshop?,Entrepreneurship Workshop
"Check if there are any scheduling conflicts on 15 May 2025, 6:15 AM at Innovation Hub.",Entrepreneurship Workshop
Is there anything else happening on 08 May 2024 at 9:44 PM?,Entrepreneurship Workshop
Can you send out invites for the Entrepreneurship Workshop on 08 May 2024 at 9:44 PM?,Entrepreneurship Workshop
How do I manage recurring events like the Entrepreneurship Workshop?,Entrepreneurship Workshop
"21 May 2024, 4:12 PM Robotics Showcase at Innovation Hub - RSVP status",Robotics Showcase
"21 May 2024, 4:12 PM Robotics Showcase at Innovation Hub - Ambiguous email-related query",Robotics Showcase
"21 May 2024, 4:12 PM Robotics Showcase at Innovation Hub - Modify event time",Robotics Showcase
What time is the Entrepreneurship Workshop on 16 June 2025?,Entrepreneurship Workshop
Can I move the Entrepreneurship Workshop to a different date?,Entrepreneurship Workshop
How do I invite people to the Entrepreneurship Workshop on 16 June 2025?,Entrepreneurship Workshop
What is the date of the Artificial Intelligence Summit?,Artificial Intelligence Summit
Is the Artificial Intelligence Summit happening at Auditorium Hall A?,Artificial Intelligence Summit
What time does the Artificial Intelligence Summit start?,Artificial Intelligence Summit
What is the date and time of the annual science fair?,Annual Science Fair
Where is the annual science fair being held?,Annual Science Fair
Can I set a reminder for the annual science fair?,Annual Science Fair
What time is the Tech Symposium on 19 November 2025?,Tech Symposium
Where is the Tech Symposium being held on 19 November 2025?,Tech Symposium
Is there a conflict with any other events on 19 November 2025 at 1:48 PM?,Tech Symposium
"How many people can fit in the Library Conference Room on 19 January 2025, 2:15 AM?",Data Science Conference
"Is there a recurring event happening on 19 January 2025, 2:15 AM?",Data Science Conference
"Can I check if there are any scheduling conflicts with the Data Science Conference on 19 January 2025, 2:15 AM?",Data Science Conference
What is the date and time of the Data Science Conference?,Data Science Conference
Where is the Data Science Conference being held?,Data Science Conference
Is there a dress code for the Data Science Conference?,Data Science Conference
What time is the Mathematics Olympiad on 02 November 2025?,Mathematics Olympiad
Where is the Mathematics Olympiad being held on 02 November 2025?,Mathematics Olympiad
Is there a conflict with any other events on 02 November 2025 at 3:04 AM?,Mathematics Olympiad
What is the date of the Artificial Intelligence Summit?,Artificial Intelligence Summit
Can you remind me of the time of the Artificial Intelligence Summit?,Artificial Intelligence Summit
Where is the Artificial Intelligence Summit being held?,Artificial Intelligence Summit
"How many people are attending the Robotics Showcase on 09 August 2024, 2:14 PM at the Sports Complex?",Robotics Showcase
Can I set a recurring event for the Robotics Showcase every year on the second Monday of August?,Robotics Showcase
"What is the RSVP status for the Robotics Showcase on 09 August 2024, 2:14 PM at the Sports Complex?",Robotics Showcase
Is there anything else happening at 8:08 PM on 14 July 2025?,Cybersecurity Awareness Seminar
Can you remind me about the Cybersecurity Awareness Seminar on 14 July 2025 at 8:08 PM?,Cybersecurity Awareness Seminar
What's the location of the Cybersecurity Awareness Seminar on 14 July 2025 at 8:08 PM?,Cybersecurity Awareness Seminar
6/8/2025 7:34 PM Cybersecurity Awareness Seminar - Physics Lab,Cybersecurity Awareness Seminar
Can I set a reminder for the Cybersecurity Awareness Seminar on 6/8/2025 at 7:34 PM in the Physics Lab?,Cybersecurity Awareness Seminar
What time is the Cybersecurity Awareness Seminar on 6/8/2025 and where is it being held?,Cybersecurity Awareness Seminar
How do I send out invites for the Cultural Fest on July 6th at 5:10 PM in Auditorium Hall A?,Cultural Fest
Can I modify the time or location of the Cultural Fest on July 6th at 5:10 PM in Auditorium Hall A?,Cultural Fest
Is there a scheduling conflict with the Cultural Fest on July 6th at 5:10 PM in Auditorium Hall A?,Cultural Fest
"04 March 2025, 2:57 PM Cybersecurity Awareness Seminar RSVP status",Cybersecurity Awareness Seminar
"04 March 2025, 2:57 PM Cybersecurity Awareness Seminar follow-up",Cybersecurity Awareness Seminar
"04 March 2025, 2:57 PM Cybersecurity Awareness Seminar invite",Cybersecurity Awareness Seminar
What time is the Cultural Fest on July 3rd?,Cultural Fest
Is there a recurring event for the Cultural Fest?,Cultural Fest
Is there a scheduling conflict with the Cultural Fest on July 3rd?,Cultural Fest
Is there a conflict with my 4:41 AM class on 06 March 2024?,Guest Lecture on AI
Can I set a reminder for the Guest Lecture on AI at 4:41 AM on 06 March 2024?,Guest Lecture on AI
Can I move the Guest Lecture on AI from 4:41 AM to a later time on 06 March 2024?,Guest Lecture on AI
How do I move the Cultural Fest to a different date?,Cultural Fest
Is there a conflict with my meeting at 3:48 AM on 28 June 2025?,Cultural Fest
Can I set up the Cultural Fest to repeat every year?,Cultural Fest
What time is the Artificial Intelligence Summit on December 29th?,Artificial Intelligence Summit
Is the Artificial Intelligence Summit on December 29th at 8:00 PM still happening?,Artificial Intelligence Summit
Is there another event happening at Auditorium Hall A on December 29th at 8:00 PM?,Artificial Intelligence Summit
"17 February 2025, 7:04 PM - Cybersecurity Awareness Seminar - Library Conference Room",Cybersecurity Awareness Seminar
"Check if there are any scheduling conflicts on 17 February 2025, 7:04 PM",Cybersecurity Awareness Seminar
"What are the follow-up and post-event reminders for the Cybersecurity Awareness Seminar on 17 February 2025, 7:04 PM?",Cybersecurity Awareness Seminar
Is there a conflict with my meeting at 9:00 AM on 15 November 2024?,Tech Symposium
